35,38,42,0,53,22,66,51,17,44,59,83,3,52,27,11,47,58,13,80,32,21,92,7,52,30,99,35,20,76,81,92,82,76,51,3,5,11,54,69,0,28,95,50,87,8,63,6,93,84,24,19,97,11,27,80,47,89,23,29,32,37,16,62,49,29,17,30,52,93,13,81,92,67,43,79,85,54,87,68,79,60,10,9,68,8,4,5,42,28,62,15,21,0,53,89,44,18,31,37,70,25,61,87,51,97,60,57,5,7,52,95,66,85,59,44,38,74,18,32,38,71,84,16,16,34,39,80,10,9,44,14,99,29,44,99,90,67,50,77,49,32,61,88,41,16,40,90,11,70,66,28,19,8,54,73,31,73,17,52,62,1,88,57,80,49,92,89,72,94,62,52,37,59,5,85,17,99,88,55,73,80,17,16,23,99,91,56,52,67,2,86,73,2,5,92,36,35,10,36,27,13,55,36,10,87,24,80,52,72,29,4,31,67,29,4,66,89,4,4,33,97,94,38,71,30,3,58,95,39,36,22,28,38,32,41,9,99,24,34,75,56,45,58,43,27,58,83,11,51,79,83,47,59,89,53
27,94,70,43,13,74,67,89,89,48,25,41,97,72,96,90,69,41,76,3,46,73,12,22,27,69,90,74,29,79,16,85,42,9,14,20,53,52,86,62,60,46,29,30,17,92,9,91,48,7,82,75,70,93,27,33,35,28,52,67,81,5,50,32,71,36,23,76,19,7,90,36,24,95,10,78,54,11,67,25,86,77,55,3,87,71,2,64,30,45,13,25,91,20,13,40,55,28,82,45,36,78,96,74,14,46,32,79,19,15,31,96,98,67,41,94,24,58,35,67,80,64,35,33,90,23,14,8,51,81,46,89,64,92,39,90,67,65,71,67,55,97,92,25,44,44,32,14,97,41,25,61,34,62,37,57,41,25,89,52,28,56,75,69,40,40,100,0,93,39,20,8,11,68,87,98,60,18,27,96,96,91,0,28,28,20,24,43,100,18,16,67,85,76,43,62,25,81,18,19,21,0,2,51,74,60,5,20,35,11,35,90,29,96,0,25,83,21,67,92,75,35,79,31,15,82,16,72,50,58,6,37,96,33,69,10,29,30,97,68,59,70,83,80,46,21,36,7,78,63,33,88,6,8,38,62
3,56,2,53,50,59,89,71,66,69,59,82,90,44,26,69,69,3,39,41,100,15,79,69,36,47,2,76,66,31,14,72,28,51,96,42,16,56,1,76,56,42,55,26,31,90,6,25,86,99,36,83,56,7,76,99,16,89,26,25,50,67,83,97,78,35,84,72,73,23,2,38,30,50,72,97,52,88,97,20,76,14,61,41,95,96,31,100,62,18,88,10,86,67,43,18,35,29,18,16,26,42,21,22,53,73,40,6,46,49,52,69,13,42,26,13,25,45,67,31,35,32,42,78,87,78,19,30,34,86,65,19,9,7,47,34,72,52,34,31,85,59,47,54,76,2,89,77,37,31,100,1,43,14,51,19,45,47,63,35,5,85,58,23,84,86,11,25,18,11,57,35,28,55,10,64,66,43,44,18,65,37,18,41,48,18,16,69,9,82,33,63,31,85,46,7,46,31,43,39,40,22,69,93,28,27,23,0,67,4,80,94,56,62,16,52,13,42,34,46,68,11,59,85,11,82,58,28,22,30,99,2,14,99,87,46,63,6,11,79,77,64,22,56,64,36,41,99,28,17,2,44,4,82,58,42
98,2,72,39,47,29,10,57,33,13,33,10,26,96,5,97,41,12,78,37,97,84,16,92,73,75,45,12,99,71,49,16,54,27,3,60,50,83,23,57,88,89,74,40,72,57,5,97,75,16,83,94,57,89,76,12,44,87,21,86,59,34,88,60,84,47,40,52,6,37,74,68,40,80,77,49,28,33,44,66,80,85,55,87,88,41,40,100,47,44,40,32,79,75,77,11,84,71,75,44,41,46,52,91,64,98,48,60,58,68,73,49,73,59,99,60,4,48,62,21,3,47,78,78,19,97,93,77,82,69,13,82,61,7,95,3,61,28,74,35,51,88,32,71,90,61,99,58,89,21,74,2,22,21,42,56,77,52,89,26,64,0,37,95,44,0,81,99,41,32,46,72,86,27,37,56,80,70,63,27,99,91,50,68,53,48,60,75,29,31,77,31,73,22,42,98,44,39,30,47,61,31,96,61,28,91,98,76,41,81,59,65,49,66,58,56,1,4,26,91,93,84,75,95,12,20,23,57,20,34,57,41,47,37,38,100,59,98,88,67,11,30,25,41,40,57,100,7,77,71,49,54,16,8,28,87
0,19,95,68,36,87,79,43,98,81,26,83,27,29,85,54,97,60,25,9,80,13,99,83,22,84,53,8,16,68,21,0,80,16,24,76,12,0,66,31,68,57,98,47,7,36,30,36,10,69,60,52,10,42,6,60,37,4,89,63,79,15,70,100,32,58,88,87,18,9,35,32,22,67,8,97,5,100,14,20,93,57,89,23,22,94,56,25,91,26,47,88,39,26,64,24,42,82,75,22,17,98,27,39,13,71,53,95,31,15,86,29,81,60,78,58,43,30,89,1,57,89,75,12,15,47,95,3,90,44,48,73,34,32,90,30,17,0,89,95,15,36,31,46,61,35,16,90,39,60,54,13,73,50,77,55,74,56,98,65,98,56,51,76,93,70,18,12,83,55,26,96,93,52,66,68,15,86,12,71,5,65,17,89,57,52,39,93,39,41,37,97,81,43,0,18,93,8,4,14,84,100,79,97,20,55,30,26,72,20,59,87,86,7,79,24,94,19,73,68,38,47,51,77,75,11,9,0,66,6,77,91,33,15,16,52,13,25,77,33,8,4,78,79,91,84,76,42,46,87,85,16,72,0,52,80
79,42,68,80,72,60,64,68,3,84,59,91,20,28,40,31,49,26,68,58,26,53,53,6,14,67,52,31,57,67,51,38,59,20,1,11,29,37,74,71,48,64,91,62,48,10,87,17,61,84,57,86,52,4,9,47,76,51,30,22,62,87,92,94,44,92,70,94,65,99,61,96,69,84,56,31,38,27,78,49,91,55,97,89,70,57,45,88,24,5,71,42,69,61,48,0,31,92,88,37,69,85,18,10,78,6,91,49,53,78,38,62,61,8,13,35,17,77,34,48,11,77,13,5,5,27,76,61,4,75,59,10,92,60,76,69,67,47,27,22,22,39,34,21,35,74,65,21,14,26,88,22,40,27,25,36,12,7,2,8,98,17,6,88,13,51,76,2,64,55,99,0,78,31,79,57,56,41,6,83,84,14,44,76,56,27,21,82,58,8,78,64,83,49,39,77,20,82,93,22,18,85,32,25,76,75,38,49,85,52,89,24,7,15,39,63,5,20,16,20,17,67,59,50,68,7,70,11,49,82,14,62,78,33,53,46,65,2,31,67,18,26,10,70,69,7,92,92,54,23,69,86,77,62,58,14
1,98,72,57,53,92,60,80,79,62,49,96,48,6,87,77,16,31,98,27,67,22,46,43,25,29,52,63,47,74,58,74,73,97,40,66,95,86,64,17,48,9,33,76,85,58,42,55,20,100,53,46,11,96,90,22,67,76,70,50,54,1,6,100,5,25,21,30,34,24,12,84,17,73,66,47,34,100,43,35,41,40,62,50,12,79,100,4,33,52,14,41,14,36,43,17,29,96,89,4,51,45,12,96,17,42,94,52,38,100,23,45,77,20,54,95,1,39,89,38,52,42,81,1,57,9,64,57,94,3,44,45,93,12,86,98,82,0,14,73,22,27,75,55,82,1,71,0,29,76,35,30,21,67,23,20,13,29,16,24,89,19,31,23,14,64,56,11,97,24,63,3,100,83,17,76,6,89,21,60,94,14,20,78,44,4,46,60,27,1,24,34,51,33,86,3,78,47,36,5,1,92,74,51,54,72,47,28,82,76,79,29,82,3,33,14,92,66,31,39,59,5,47,79,1,72,33,11,3,81,92,6,82,81,22,11,68,69,7,92,89,14,51,40,14,72,68,9,39,87,56,63,58,54,83,28
59,12,14,15,49,5,78,68,93,13,10,49,56,93,16,97,15,30,19,31,15,1,32,34,48,41,66,56,42,18,71,20,20,71,76,8,76,2,51,92,77,46,82,100,52,45,82,79,51,11,67,85,44,20,89,20,97,39,81,19,66,81,100,63,24,32,12,33,97,59,56,88,3,62,60,63,58,4,11,58,77,85,12,15,21,94,19,19,53,91,77,98,94,76,83,41,77,86,58,100,84,50,77,71,6,26,1,64,60,22,35,35,22,94,42,38,26,47,80,94,33,94,11,88,27,88,73,62,79,62,73,86,80,67,26,41,88,42,82,52,7,44,35,60,59,27,77,36,24,60,60,40,85,38,89,4,61,63,22,75,4,2,45,25,18,44,28,7,0,58,48,93,14,34,53,50,40,100,62,13,72,0,19,53,74,18,46,52,94,13,7,73,98,3,73,19,77,68,39,25,66,30,14,22,46,64,12,93,39,56,41,65,22,83,32,62,15,90,42,30,83,83,60,15,88,0,45,0,33,14,39,52,94,52,0,90,3,19,77,2,68,34,35,0,29,82,75,9,63,11,100,92,23,79,82,5
29,8,69,55,17,5,52,50,16,58,63,40,18,64,83,72,100,68,17,47,28,42,28,6,30,74,35,5,45,22,17,35,62,30,69,18,1,16,14,90,95,44,51,77,41,45,36,96,39,51,19,55,91,8,98,43,70,25,39,12,29,58,60,59,74,34,9,39,24,60,7,64,61,55,83,30,25,78,2,88,3,26,12,37,82,50,96,80,43,27,64,7,21,87,68,4,70,30,8,13,82,0,45,92,10,67,14,75,82,66,46,100,44,0,77,72,8,47,23,66,65,27,52,60,27,29,22,100,13,28,68,16,43,57,41,8,31,81,100,19,70,87,89,66,4,63,85,69,87,73,8,70,37,100,4,37,16,88,13,12,93,53,41,89,80,83,64,97,21,85,37,93,85,35,52,6,50,32,8,95,77,55,41,10,46,73,96,34,44,40,84,69,27,98,54,40,27,59,58,22,52,52,28,43,16,54,93,19,72,33,61,49,71,41,100,40,71,86,100,18,1,94,88,50,79,78,21,26,97,91,27,100,59,35,17,81,43,83,46,58,53,28,17,4,84,81,87,94,65,66,62,18,41,41,96,40
42,61,19,38,12,20,0,56,98,10,71,45,14,96,2,12,41,62,32,51,46,15,32,39,71,54,13,52,34,49,20,52,85,15,11,45,60,98,25,35,70,23,80,1,6,62,40,65,90,41,73,15,85,61,46,73,24,8,32,56,100,6,58,45,27,5,12,50,19,15,12,96,46,46,63,20,36,43,93,76,35,67,0,22,7,93,39,86,97,95,71,65,98,25,19,71,71,8,31,36,84,59,34,30,26,53,100,40,27,59,66,31,24,37,46,30,32,60,2,65,47,88,33,13,45,85,0,53,46,42,66,32,100,42,72,64,38,20,24,99,85,36,23,58,30,17,74,92,31,59,81,9,61,10,31,75,56,35,49,84,77,4,6,81,24,56,98,87,79,50,39,37,24,85,100,70,54,46,43,70,17,55,17,63,19,69,48,72,15,48,30,69,53,13,87,43,88,65,33,23,90,81,74,6,15,43,7,85,58,4,67,4,23,99,75,8,34,74,13,50,46,25,29,63,21,7,36,93,64,16,97,86,96,74,32,59,66,67,18,60,66,50,24,15,11,48,66,30,88,64,97,64,17,21,1,97
